,Motorcyclists,Drivers,Passengers,Cyclist,Pedestrians,Other/unknown,YEAR
1,534,1108,760,124,360,283,2001
2,517,1102,772,129,360,267,2001
3,491,1085,769,133,369,246,2001
4,487,1159,775,130,376,253,2001
5,485,1139,750,120,391,253,2002
6,467,1130,749,117,389,246,2002
7,467,1138,733,115,394,264,2002
8,459,1079,706,110,408,265,2002
9,448,1050,695,106,396,272,2003
10,468,1077,682,107,402,277,2003
11,481,1104,704,103,398,276,2003
12,479,1099,698,103,392,288,2003
13,481,1146,695,109,388,284,2004
14,461,1103,660,103,376,299,2004
15,466,1069,625,116,359,332,2004
16,485,1083,646,136,353,332,2004
17,514,1072,680,138,351,334,2005
18,553,1111,696,139,346,327,2005
19,567,1121,745,143,366,302,2005
20,598,1111,701,132,356,302,2005
21,609,1137,665,126,363,321,2006
22,600,1150,683,132,379,322,2006
23,631,1142,652,137,367,333,2006
24,666,1146,691,141,385,370,2006
25,734,1113,711,141,362,359,2007
26,787,1091,718,136,343,358,2007
27,775,1106,711,130,346,373,2007
28,779,1114,693,141,340,339,2007
29,746,1108,677,153,357,336,2008
30,752,1084,643,162,365,352,2008
31,761,1024,625,160,364,350,2008
32,769,1052,585,138,349,351,2008
33,756,1051,595,121,339,347,2009
34,732,1073,614,112,328,325,2009
35,718,1087,624,109,329,302,2009
36,685,990,614,114,341,299,2009
37,698,954,584,120,332,292,2010
38,680,905,566,118,334,295,2010
39,657,875,568,109,323,289,2010
40,665,904,590,113,315,310,2010
41,624,933,584,114,327,301,2011
42,614,902,545,117,328,301,2011
43,632,922,508,128,320,311,2011
44,601,894,481,128,315,288,2011
45,599,874,475,123,302,332,2012
46,601,868,482,127,306,355,2012
47,588,863,473,122,312,381,2012
48,608,898,481,113,313,385,2012
49,652,870,481,125,325,358,2013
50,648,899,489,122,307,352,2013
51,649,909,533,119,312,349,2013
52,646,918,529,130,310,352,2013
53,612,956,521,123,290,340,2014
54,617,942,483,125,309,352,2014
55,627,931,442,130,288,339,2014
56,629,917,439,118,291,327,2014
57,635,865,440,103,302,344,2015
58,642,857,463,95,290,320,2015
59,641,903,492,93,307,322,2015
60,665,934,537,100,331,335,2015
61,681,1003,576,112,323,351,2016
62,706,1053,597,116,316,348,2016
63,745,1028,573,106,312,349,2016
64,685,967,523,98,280,333,2016
