YEAR,Passengers,Pedestrians
1999,36,15
1999,32,24
1999,36,12
1999,37,12
2000,34,8
2000,32,12
2000,35,11
2000,31,6
2001,28,9
2001,34,17
2001,20,12
2001,43,14
2002,31,9
2002,28,16
2002,16,11
2002,21,9
2003,36,16
2003,32,17
2003,36,14
2003,22,13
2004,38,10
2004,30,10
2004,33,9
2004,32,10
2005,34,6
2005,35,8
2005,24,8
2005,30,9
2006,23,12
2006,31,10
2006,17,17
2006,36,9
2007,25,7
2007,25,14
2007,36,12
2007,33,14
2008,38,9
2008,23,14
2008,20,4
2008,23,10
2009,27,10
2009,34,8
2009,21,9
2009,21,6
2010,25,6
2010,27,9
2010,22,11
2010,24,10
2011,14,1
2011,18,13
2011,13,8
2011,16,9
2012,23,10
2012,16,5
2012,13,8
2012,30,10
2013,13,9
2013,12,10
2013,14,7
2013,10,6
2014,8,5
2014,23,16
2014,10,9
2014,29,13
2015,23,5
2015,19,11
2015,13,6
2015,20,5
2016,23,5
2016,22,9
2016,18,10
2016,14,5
